Commit message,Class
fixed bug where rulesets were not being disable properly also added comments and refactored a little git svn id baf d a c fc e d,inline
a few minor improvements to probes,push down
rf remove unused formal parameter,inline
sgf provide support in the sdg xml namespace to load a pre defined data set using gemfire snapshot service for development and testing purposes refactored the snapshotapplicationevent into separate applicationevent classes to handle import and exports refactored the snapshotservicefactorybean class to handle import export snapshotapplicationevents in onapplicationevent snapshotapplicationevent added integration tests for the archive file handling capabilities of the snapshotservicefactorybean snapshotserviceadaptersupport class added additional unit tests,pull up
removed usage of the deprecated method collection keys,move
adding metadata links,extract
cleaned up api user dao,inline
renamed loggercontext s reset method to shutdownandreset,rename
rename typename to seriesname and make its value series name rename mapname in mps to mapdescription as its value is taken from description git svn id d f ee a dfeeeb ,rename
a tremendous patch from wouter to move lots of things over to the new rule xml test format git svn id baf d a c fc e d,inline
splitting the filetokenfactory into two parts filetokenfactory does the basic translation databasefiletokenfactory adds a few extra functions that depend on knowing which daemon the database module resides at,push down
o refactor the creation of title and summary for the report into a couple of common methods in the parent git svn id f bb ffa edef ,pull up
some roomframe ui updates objects tab added a resourcemenu for adding instances applied a preview for chosen object s sprite consider adding a tooltip or something to enlarge the image removed the tabbedpane since all that was needed was a resourcemenu tiles tab defaults to edit tab since that s the only tab with components when components are added remember to switch default back back over git svn id f f bc e be cd ,inline
checkpointing work in progress need to add migration and strip out old api cruft,extract
and add the new app filter to the grouped activity page,extract
jcbc support more parameters for n ql query motivation it makes sense that some request parameters from n ql specification be tuned by the user offer an api to do that for relevant parameters modifications added queryparams following the parameter object pattern to allow to set various relevant query parameters for n ql added consistency enum added unit tests to check the produced json query and the coherence of the api added method on jsonobject to remove an entry from the json by key result users now can further tune their n ql queries with relevant parameters change id if f a c a c adfdac a cc e reviewed on tested by simon baslé reviewed by michael nitschinger,pull up
benchmark stages now separated into their own namespaces removed all the separate symlinks to xsd files replaced by single symlink to schema directory moved radargun xsd to radargun benchmark xsd fits better to the urn radargun benchmark namespace moved radargunscenario xsd to radargun scenario xsd and changed the namespace to urn radargun scenario core stages are now in radargun core xsd reduced code dependency on directories lib dir annotatedhelper renamed to classpathscanner now scanning whole classpath,move
processors moved to core core many renames testfactory testconfig tab csvanalysisreasource xmlanalysisreasource started git svn id b f a e b ddf ,move
a few small code cleanups and simplifications,pull up
simplified getdigest,inline
added get usage json for witness and set,extract
arqajo removed dependency on javassist,push down
extracted method that determines the metrics value,extract
many refactorings always use dyn getprop for scope resolution extracted hasownproperty helper removing all the dynjs scope proprietary calls,extract
inlined those clicker clickontext methods which were wrappers for the actual clickontext method,inline
the rendered decorator is now passed through the contentprocessor to to further process any tags added by the decorator this allows decorators to be built with tags and treated as content rather than having bindings for templating languages jsp velocity some cool side effects of this no more never ending list of templating systems to integrate with works in the same way in web apps and offline it s just so simple overview of changes introduced sitemeshwritetagrule which handles definitions in decorators and merges in the content renamed to sitemesh context object now has a getcontenttomerge method which is used by decorators when they need to get access to the underlying content content now has a processed property which is the default output post processing previously this was implicitly body just making it more explicit note this changes introduces a bug and a bunch of test failures around the tag these will be resolved in a follow up commit this change is already very big and will not be pushed upstream until fixed,rename
extract test tomcat setup to tomcatbuilder,extract
renamed getpropertyclass to getinputpropertyclass javadoc revisions to componentsynchronizepeer and abstract implementation,rename
un implement encfsfileinputstream read on some runtimes the readblock implementation ended up recursively calling into read byte since the call into super read byte gets reflected back into encfsfileinputstream resulting into infinite recursion as a lame solution removing read byte int int from encfsfileinputstream and calling fileinputstream read byte int int from readblock,inline
fixed format and renamed getbackingstore to getstoreinternal,rename
rename access restrictions from restriction to access since restrictions will be something else at some point git svn id d f ee a dfeeeb ,rename
added file based rel record updater moved forward rel id handling to a later stage,move
mv class code to package org dcm che data dcm che jboss sample remove startup flag for dicomconfiguration singleton ejb deviceservice add templates parameter,extract
various changes to the pull request from uoccou cleaning up things removing commented out code removing unused fields imports removing specific bits some refactors to make the jena bits as independent of the sql stuff as possible though this still needs some work sdb and tdb really will end up needing their own factories sdb at least and moving the sql bits into their own directory rather than having them in the core,move
added mapdisplay getlocation x y,extract
refactoring of relay package extract android to own projecttests not changed yet,extract
admins should be able to create accounts based on existing patients,extract
merge r pbrant changes to head,inline
agova removing generics to ease control of the framework first version and new test it also makes the oauthappsettings the entry point of configuration again,inline
lots of comments some interface cleanups remove class implementation,pull up
hv move the mapkeyextractor to the default valueextractors provided,move
move sendpdulength receivepdulength maxopsinvoked maxopsperformed packpdv from applicationentity to connection replace connection dimsersptimeout by cstorersptimeout cfindrsptimeout cechorsptimeout neventreportrsptimeout ngetrsptimeout nsetrsptimeout nactionrsptimeout ncreatersptimeout ndeletersptimeout rename association nevent to neventreport,rename
added ability to set jmx attrs via probe sh ,extract
refactoring of some method added enums for operators and modifiers,inline
very minor refactoring,pull up
rename rrc credential to multiple use more familiar name for authentication,rename
refactored the archivebuckettest all tests are now green and they make sure that the directories created are removed,extract
renamed to show that it s for online players only it will go null if offline,rename
if number of substitutions of candidate type is zero then this type is not removed as it seems to be a root type fixes conversion to plural form now features better property customisation check fixed broken argument processing xml marshaller in unit tests is now schema enabled added more xmls added case for xsd anytype improved line and branch coverage updates readme with respect to future release,inline
metrics add configurable obfuscation of jms headers attributes and or properties,extract
support for her allow adding seeds recovery journal like uri data at any point in crawl via action directory her support case where millions of seeds abstractfrontier java move sourcetagseeds setting to seedmodule trigger and schedule seeds via seedmodule s announcements and seedlistener protocols statisticstracker java implement seedlistener use processedseedrecords as list of all seeds processoruri java defaultprocessoruri java geturi convenience accessor for plain uri string surtprefixeddeciderule java use seeds as prefixes via seedlistener notifications rather than separate scan of seeds source text seedlistener java simplify to notifications of new seed and nonseed text mixed with seeds as with surt directives seedmodule java methods for seedlistener interface announceseeds acton file textseedmodule java eliminate interators add methods for announcing seeds and scanning seed text sources including arbitrary files prefixset java surtprefixset java derive from concurrentskiplistset eliminate now unneeded extra synchronization and clone s offer considerasdirective for direct application of directive strings,extract
refactor model to include a very basic representation of a person probably just a link to wikipedia for now,pull up
fixed optional protocol dialog refactored code,extract
added writerequestqueue to abstractiosession because most implementations needs it removed getwriterequestqueue from iosession final implementations git svn id f bb ffa edef ,pull up
refactor out the abstract class overlayendpoint and use it to share functionality between overlaytransport and service connection,pull up
add support for infinispan remote listeners added support for ispn remote listeners code refactoring of cache listener added ispn hotrod service and server config file,push down
