,Commit message,Class
0,extract method,extract
1,minor tweak follow review extraction method plus throw upon unexpected data mapping genre,extract
2,extract stuff method git p depot path coremedia jangaroo change,extract
3,extract method doiserviceimpl,extract
4,refactoring getmenuspace navigation extract isemptymainmenu querymethod,extract
5,extract method resolvetemplatepath,extract
6,refactorings extract method movetreedocafter,extract
7,extract method setrightsonuserdoc,extract
8,extract method getmetatags,extract
9,extract setup default httpparams public static methodgit svn id http svn apache org repos asf httpcomponents httpclient trunk f bb ffa edef,extract
10,httpclient refactor clean duplicate code cacheentry validation regular variant reuse negotation byextracting code share method git svn id http svn apache org repos asf httpcomponents httpclient trunk f bb ffa edef,extract
11,httpclient refactor clean duplicate code cacheentry validation regular variant reuse negotation byextracting code share method git svn id http svn apache org repos asf httpcomponents httpclient trunk f bb ffa edef,extract
12,httpclient refactoring primary execute method cachinghttpclient mostly method extraction git svn id http svn apache org repos asf httpcomponents httpclient trunk f bb ffa edef,extract
13,httpclient refactoring method extractiongit svn id http svn apache org repos asf httpcomponents httpclient trunk f bb ffa edef,extract
14,httpclient method extraction body forcachinghttpclient execute least fit one screen git svn id http svn apache org repos asf httpcomponents httpclient trunk f bb ffa edef,extract
15,extract setup materializepull setup method materialize pcollectionre use memory mapside join,extract
16,extract method,extract
17,extract method make method fit print page functional changesgit svn id http svn apache org repos asf maven surefire trunk f bb ffa edef,extract
18,reduce duplication mojo extract nice methodspatch stefan birkner submit via github reformatted intellij maven template otherwiseunchangedgit svn id http svn apache org repos asf maven surefire trunk f bb ffa edef,extract
19,extract well name method remove commentgit svn id http svn apache org repos asf maven surefire trunk f bb ffa edef,extract
20,extract method,extract
21,refactor createorupdate method mongochannelstore extract method make code readable,extract
22,jcbc refactoring httpfuture viewfuturethis changeset refactors get method thehttpfuture viewfuture extract common codepathinside reduce duplication change id dad cf f b fbbe c review http review couchbase org review michael wiederhold test michael nitschinger,extract
23,extract method,extract
24,extract generic octal formatting method simplify code eliminate array copieschange lead pad zero compatible require posix git svn id http svn apache org repos asf common proper compress trunk f bb ffa edef,extract
25,extract method refactorings make code readable still win beauty contestgit svn id http svn apache org repos asf common proper compress trunk f bb ffa edef,extract
26,cut overall object instantiation half change fileheader generation algorithm percent performanceimprovement archive contains lot small file also extract two private method createlocalfileheaderand createcentralfileheader ziparchiveoutputstream may interest additional usage near future basically tactical refactoring scatter gather awonderful performance scatter algorithm spentan equal amount time gather phasegit svn id http svn apache org repos asf common proper compress trunk f bb ffa edef,extract
27,extract method run arbitrary file sql statement use create actual upgrade path wiuth migration like thing git svn id svn svn jbidwatcher com jbidwatcher trunk b acfa eb db b cd b e,extract
28,clean overly complex code extract usefully name method parse still super complex,extract
29,extract method localize responsibility,extract
30,extracted updaterepository method avoid copy pastegit svn id http svn apache org repos asf maven archetype trunk f bb ffa edef,extract
